#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACE2	APOE	9606.ENSP00000389326	9606.ENSP00000252486	0	0	0	0	0.082	0	0	0.408	0.434
ACE2	SLC3A1	9606.ENSP00000389326	9606.ENSP00000260649	0	0	0	0	0.084	0	0	0.419	0.445
ACE2	COL8A1	9606.ENSP00000389326	9606.ENSP00000261037	0	0	0	0	0	0	0	0.642	0.642
ACE2	ITGA5	9606.ENSP00000389326	9606.ENSP00000293379	0	0	0	0	0	0	0	0.619	0.619
ACE2	DEFA5	9606.ENSP00000389326	9606.ENSP00000329890	0	0	0	0	0.182	0.620	0	0.090	0.692
ACE2	FN1	9606.ENSP00000389326	9606.ENSP00000346839	0	0	0	0	0	0	0	0.430	0.430
ACE2	CTGF	9606.ENSP00000389326	9606.ENSP00000356954	0	0	0	0	0.062	0	0	0.407	0.420
ACE2	SLC15A1	9606.ENSP00000389326	9606.ENSP00000365686	0	0	0.239	0	0.112	0	0	0.637	0.733
ACE2	SOD3	9606.ENSP00000389326	9606.ENSP00000371554	0	0	0	0	0.063	0	0	0.534	0.544
ACKR1	NGFR	9606.ENSP00000357103	9606.ENSP00000172229	0	0	0	0	0.077	0	0.900	0.069	0.906
ACKR1	GYPC	9606.ENSP00000357103	9606.ENSP00000259254	0	0	0	0	0	0	0	0.685	0.685
ACKR1	CCL21	9606.ENSP00000357103	9606.ENSP00000259607	0	0	0	0	0.152	0	0	0.469	0.530
ACKR1	VWF	9606.ENSP00000357103	9606.ENSP00000261405	0	0	0	0	0.326	0	0	0.204	0.441
ACKR1	CCL19	9606.ENSP00000357103	9606.ENSP00000308815	0	0	0	0	0.174	0	0	0.451	0.527
ACKR1	CLDN5	9606.ENSP00000357103	9606.ENSP00000385477	0	0	0	0	0.331	0	0	0.150	0.407
ACKR1	CXCR4	9606.ENSP00000357103	9606.ENSP00000386884	0	0	0	0	0	0	0	0.460	0.460
ACKR1	NOX1	9606.ENSP00000357103	9606.ENSP00000362057	0	0	0	0	0	0	0	0.555	0.555
ACKR1	CXCL12	9606.ENSP00000357103	9606.ENSP00000379140	0	0	0	0	0.076	0	0	0.564	0.580
ACKR1	CADM3	9606.ENSP00000357103	9606.ENSP00000357106	0	0	0	0	0.459	0	0	0.259	0.582
ACKR1	CCL5	9606.ENSP00000357103	9606.ENSP00000474412	0	0	0	0	0	0.213	0	0.545	0.627
ACSL6	MOGAT2	9606.ENSP00000368566	9606.ENSP00000198801	0	0	0	0	0.063	0	0	0.396	0.410
ACSL6	PDLIM4	9606.ENSP00000368566	9606.ENSP00000253754	0	0	0	0	0.049	0	0	0.470	0.474
ACSL6	SLC27A2	9606.ENSP00000368566	9606.ENSP00000267842	0	0	0	0	0.066	0.149	0	0.459	0.533
ACSL6	GPD1	9606.ENSP00000368566	9606.ENSP00000301149	0.048	0	0	0	0.056	0	0	0.413	0.426
ACSL6	MN1	9606.ENSP00000368566	9606.ENSP00000304956	0	0	0	0	0	0	0	0.644	0.644
ACSL6	HMGCS2	9606.ENSP00000368566	9606.ENSP00000358414	0	0	0	0	0.062	0	0	0.396	0.409
ACSL6	CEL	9606.ENSP00000368566	9606.ENSP00000361151	0	0	0	0	0.064	0	0.600	0.139	0.649
ACTA2	DCN	9606.ENSP00000402373	9606.ENSP00000052754	0	0	0	0	0.264	0.122	0	0.393	0.574
ACTA2	MMP2	9606.ENSP00000402373	9606.ENSP00000219070	0	0	0	0	0.111	0	0	0.453	0.494
ACTA2	TGFB1	9606.ENSP00000402373	9606.ENSP00000221930	0	0	0	0	0	0	0	0.794	0.794
ACTA2	SERPINE1	9606.ENSP00000402373	9606.ENSP00000223095	0	0	0	0	0.081	0	0	0.529	0.549
ACTA2	COL1A1	9606.ENSP00000402373	9606.ENSP00000225964	0	0	0	0	0.228	0	0	0.767	0.813
ACTA2	CAP2	9606.ENSP00000402373	9606.ENSP00000229922	0	0	0	0	0.092	0.560	0	0.213	0.658
ACTA2	TGFB3	9606.ENSP00000402373	9606.ENSP00000238682	0	0	0	0	0.149	0	0	0.487	0.545
ACTA2	CNN1	9606.ENSP00000402373	9606.ENSP00000252456	0	0	0	0	0.276	0.179	0	0.729	0.825
ACTA2	VWF	9606.ENSP00000402373	9606.ENSP00000261405	0	0	0	0	0.221	0.103	0	0.594	0.692
ACTA2	CASQ2	9606.ENSP00000402373	9606.ENSP00000261448	0	0	0	0	0.108	0.236	0	0.204	0.410
ACTA2	PDGFRB	9606.ENSP00000402373	9606.ENSP00000261799	0	0	0	0	0.229	0	0	0.581	0.663
ACTA2	TIMP2	9606.ENSP00000402373	9606.ENSP00000262768	0	0	0	0	0.083	0	0	0.406	0.432
ACTA2	KCNMB1	9606.ENSP00000402373	9606.ENSP00000274629	0	0	0	0	0.175	0	0	0.325	0.419
ACTA2	MYL9	9606.ENSP00000402373	9606.ENSP00000279022	0	0	0	0	0.361	0.153	0.600	0.567	0.893
ACTA2	PPARG	9606.ENSP00000402373	9606.ENSP00000287820	0	0	0	0	0	0.056	0	0.436	0.445
ACTA2	DBN1	9606.ENSP00000402373	9606.ENSP00000292385	0	0	0	0	0	0.318	0	0.219	0.445
ACTA2	COL1A2	9606.ENSP00000402373	9606.ENSP00000297268	0	0	0	0	0.183	0	0	0.604	0.662
ACTA2	CFL2	9606.ENSP00000402373	9606.ENSP00000298159	0	0	0	0	0.065	0.255	0	0.368	0.521
ACTA2	COL3A1	9606.ENSP00000402373	9606.ENSP00000304408	0	0	0	0	0.568	0	0	0.688	0.859
ACTA2	EFEMP2	9606.ENSP00000402373	9606.ENSP00000309953	0	0	0	0	0.121	0.077	0	0.518	0.575
ACTA2	SPEG	9606.ENSP00000402373	9606.ENSP00000311684	0	0	0	0	0.066	0.161	0	0.475	0.553
ACTA2	CSPG4	9606.ENSP00000402373	9606.ENSP00000312506	0	0	0	0	0.094	0	0	0.405	0.438
ACTA2	TLN1	9606.ENSP00000402373	9606.ENSP00000316029	0	0	0	0	0.062	0.065	0.600	0.259	0.705
ACTA2	FBN1	9606.ENSP00000402373	9606.ENSP00000325527	0	0	0	0	0.120	0.077	0	0.681	0.718
ACTA2	BGN	9606.ENSP00000402373	9606.ENSP00000327336	0	0	0	0	0.145	0.122	0	0.342	0.463
ACTA2	PLS1	9606.ENSP00000402373	9606.ENSP00000336831	0	0	0	0	0.063	0.368	0	0.197	0.482
ACTA2	FBLN5	9606.ENSP00000402373	9606.ENSP00000345008	0	0	0	0	0.179	0.077	0	0.363	0.475
ACTA2	FN1	9606.ENSP00000402373	9606.ENSP00000346839	0	0	0	0	0.097	0	0	0.751	0.766
ACTA2	SVIL	9606.ENSP00000402373	9606.ENSP00000348128	0	0	0	0	0.062	0.382	0	0.118	0.444
ACTA2	ELN	9606.ENSP00000402373	9606.ENSP00000351807	0	0	0	0	0.102	0	0	0.624	0.648
ACTA2	MFAP5	9606.ENSP00000402373	9606.ENSP00000352455	0	0	0	0	0.127	0	0	0.457	0.505
ACTA2	MYLK	9606.ENSP00000402373	9606.ENSP00000353452	0	0	0	0	0.261	0.161	0.650	0.669	0.918
ACTA2	MYH10	9606.ENSP00000402373	9606.ENSP00000353590	0	0	0	0	0.066	0.656	0.600	0.541	0.933
ACTA2	ZEB1	9606.ENSP00000402373	9606.ENSP00000354487	0	0	0	0	0.064	0	0	0.447	0.461
ACTA2	CALD1	9606.ENSP00000402373	9606.ENSP00000354826	0	0	0	0	0.139	0	0.600	0.711	0.892
ACTA2	LMOD1	9606.ENSP00000402373	9606.ENSP00000356257	0	0	0	0	0.204	0	0.600	0.441	0.806
ACTA2	CSRP1	9606.ENSP00000402373	9606.ENSP00000356275	0	0	0	0	0.104	0.160	0	0.443	0.544
ACTA2	CTGF	9606.ENSP00000402373	9606.ENSP00000356954	0	0	0	0	0.099	0	0	0.728	0.744
ACTA2	FLNA	9606.ENSP00000402373	9606.ENSP00000358866	0	0	0	0	0.082	0.160	0	0.498	0.579
ACTA2	SORBS1	9606.ENSP00000402373	9606.ENSP00000360293	0	0	0	0	0.088	0	0.600	0.226	0.693
ACTA2	COL5A1	9606.ENSP00000402373	9606.ENSP00000360882	0	0	0	0	0.112	0	0	0.467	0.507
ACTA2	TNNC2	9606.ENSP00000402373	9606.ENSP00000361636	0	0	0	0	0.208	0.153	0	0.204	0.419
ACTA2	ASPN	9606.ENSP00000402373	9606.ENSP00000364694	0	0	0	0	0.318	0.122	0	0.151	0.448
ACTA2	TPM2	9606.ENSP00000402373	9606.ENSP00000367542	0	0	0	0	0.173	0.259	0.600	0.593	0.886
ACTA2	FSCN1	9606.ENSP00000402373	9606.ENSP00000371798	0	0	0	0	0	0.666	0	0.216	0.727
ACTA2	ACTN1	9606.ENSP00000402373	9606.ENSP00000377941	0	0	0	0	0.085	0.259	0	0.436	0.584
ACTA2	SPP1	9606.ENSP00000402373	9606.ENSP00000378517	0	0	0	0	0	0	0	0.465	0.465
ACTA2	MYH11	9606.ENSP00000402373	9606.ENSP00000379616	0	0	0	0	0.338	0.520	0.600	0.822	0.974
ACTA2	DAAM2	9606.ENSP00000402373	9606.ENSP00000381876	0	0	0	0	0.070	0.339	0	0.194	0.461
ACTA2	ACTG2	9606.ENSP00000402373	9606.ENSP00000386857	0	0	0	0.987	0.351	0.800	0.900	0.536	0.985
ACTA2	MYO1A	9606.ENSP00000402373	9606.ENSP00000393392	0	0	0	0	0.066	0.348	0	0.131	0.425
ACTA2	MYOCD	9606.ENSP00000402373	9606.ENSP00000401678	0	0	0	0	0.094	0	0	0.633	0.653
ACTA2	ITGAM	9606.ENSP00000402373	9606.ENSP00000441691	0	0	0	0	0	0	0	0.405	0.405
ACTA2	TNNT1	9606.ENSP00000402373	9606.ENSP00000467176	0	0	0	0	0.076	0.061	0	0.409	0.442
ACTA2	VIM	9606.ENSP00000402373	9606.ENSP00000446007	0	0	0	0	0.064	0.145	0	0.608	0.659
ACTA2	TAGLN	9606.ENSP00000402373	9606.ENSP00000432282	0	0	0	0	0.416	0.179	0	0.760	0.875
ACTG2	COL1A1	9606.ENSP00000386857	9606.ENSP00000225964	0	0	0	0	0.154	0	0	0.321	0.401
ACTG2	CAP2	9606.ENSP00000386857	9606.ENSP00000229922	0	0	0	0	0.092	0.369	0	0.213	0.509
ACTG2	CNN1	9606.ENSP00000386857	9606.ENSP00000252456	0	0	0	0	0.789	0.179	0	0.588	0.922
ACTG2	MYL9	9606.ENSP00000386857	9606.ENSP00000279022	0	0	0	0	0.281	0.153	0.600	0.522	0.868
ACTG2	CFL2	9606.ENSP00000386857	9606.ENSP00000298159	0	0	0	0	0.065	0.255	0	0.452	0.585
ACTG2	TUBA1A	9606.ENSP00000386857	9606.ENSP00000301071	0	0	0	0	0.062	0.149	0	0.345	0.431
ACTG2	SPEG	9606.ENSP00000386857	9606.ENSP00000311684	0	0	0	0	0.101	0.161	0	0.678	0.736
ACTG2	TLN1	9606.ENSP00000386857	9606.ENSP00000316029	0	0	0	0	0	0.065	0.600	0.248	0.694
ACTG2	PLS1	9606.ENSP00000386857	9606.ENSP00000336831	0	0	0	0	0.062	0.368	0	0.212	0.492
ACTG2	ANXA6	9606.ENSP00000386857	9606.ENSP00000346550	0	0	0	0	0	0.078	0	0.413	0.435
ACTG2	FN1	9606.ENSP00000386857	9606.ENSP00000346839	0	0	0	0	0.086	0	0	0.433	0.460
ACTG2	SVIL	9606.ENSP00000386857	9606.ENSP00000348128	0	0	0	0	0.049	0.382	0	0.188	0.481
ACTG2	ANXA10	9606.ENSP00000386857	9606.ENSP00000352248	0	0	0	0	0	0.078	0	0.401	0.424
ACTG2	MYLK	9606.ENSP00000386857	9606.ENSP00000353452	0	0	0	0	0.181	0.161	0.650	0.551	0.877
ACTG2	MYH10	9606.ENSP00000386857	9606.ENSP00000353590	0	0	0	0	0.066	0.369	0.600	0.536	0.875
ACTG2	CALD1	9606.ENSP00000386857	9606.ENSP00000354826	0	0	0	0	0.107	0	0.600	0.558	0.828
ACTG2	LMOD1	9606.ENSP00000386857	9606.ENSP00000356257	0	0	0	0	0.157	0	0.600	0.550	0.835
ACTG2	CSRP1	9606.ENSP00000386857	9606.ENSP00000356275	0	0	0	0	0.138	0.160	0	0.249	0.409
ACTG2	FLNA	9606.ENSP00000386857	9606.ENSP00000358866	0	0	0	0	0.066	0.160	0	0.379	0.470
ACTG2	SORBS1	9606.ENSP00000386857	9606.ENSP00000360293	0	0	0	0	0.052	0	0.600	0.101	0.629
ACTG2	TNNC2	9606.ENSP00000386857	9606.ENSP00000361636	0	0	0	0	0.208	0.153	0	0.213	0.426
ACTG2	KLF9	9606.ENSP00000386857	9606.ENSP00000366330	0	0	0	0	0.062	0.075	0	0.464	0.494
ACTG2	TPM2	9606.ENSP00000386857	9606.ENSP00000367542	0	0	0	0	0.196	0.259	0.600	0.599	0.891
ACTG2	ACTN1	9606.ENSP00000386857	9606.ENSP00000377941	0	0	0	0	0.085	0.259	0	0.447	0.592
ACTG2	MYH11	9606.ENSP00000386857	9606.ENSP00000379616	0	0	0	0	0.566	0.369	0.600	0.641	0.955
ACTG2	DAAM2	9606.ENSP00000386857	9606.ENSP00000381876	0	0	0	0	0	0.339	0	0.194	0.444
ACTG2	MYO1A	9606.ENSP00000386857	9606.ENSP00000393392	0	0	0	0	0.066	0.348	0	0.100	0.404
ACTG2	MYOCD	9606.ENSP00000386857	9606.ENSP00000401678	0	0	0	0	0.118	0	0	0.474	0.516
ACTG2	TNNT1	9606.ENSP00000386857	9606.ENSP00000467176	0	0	0	0	0.076	0.061	0	0.635	0.656
ACTG2	TAGLN	9606.ENSP00000386857	9606.ENSP00000432282	0	0	0	0	0.335	0.179	0	0.550	0.733
ACTN1	PSD	9606.ENSP00000377941	9606.ENSP00000020673	0	0	0	0	0	0.057	0	0.754	0.758
ACTN1	CDH17	9606.ENSP00000377941	9606.ENSP00000027335	0	0	0	0	0	0.057	0	0.418	0.427
ACTN1	TNS1	9606.ENSP00000377941	9606.ENSP00000171887	0	0	0	0	0.064	0	0.900	0.258	0.924
ACTN1	CNN1	9606.ENSP00000377941	9606.ENSP00000252456	0	0	0	0	0.062	0.167	0	0.313	0.416
ACTN1	PDLIM4	9606.ENSP00000377941	9606.ENSP00000253754	0	0	0	0	0.101	0.275	0	0.387	0.567
ACTN1	CACNA1C	9606.ENSP00000377941	9606.ENSP00000266376	0	0	0	0	0.055	0.800	0	0.187	0.833
ACTN1	MYL9	9606.ENSP00000377941	9606.ENSP00000279022	0	0	0	0	0.173	0.139	0	0.462	0.584
ACTN1	ITGB6	9606.ENSP00000377941	9606.ENSP00000283249	0	0	0	0	0.111	0.077	0.600	0.211	0.706
ACTN1	PDLIM3	9606.ENSP00000377941	9606.ENSP00000284770	0	0	0	0	0.112	0.180	0	0.548	0.642
ACTN1	DBN1	9606.ENSP00000377941	9606.ENSP00000292385	0	0	0	0	0.078	0.284	0	0.387	0.560
ACTN1	ITGA5	9606.ENSP00000377941	9606.ENSP00000293379	0	0	0	0	0.160	0	0.800	0.370	0.885
ACTN1	CFL2	9606.ENSP00000377941	9606.ENSP00000298159	0	0	0	0	0.063	0.103	0	0.390	0.442
ACTN1	TUBA1A	9606.ENSP00000377941	9606.ENSP00000301071	0	0	0	0	0.062	0.386	0	0.198	0.498
ACTN1	SPEG	9606.ENSP00000377941	9606.ENSP00000311684	0	0	0	0	0.183	0.176	0	0.216	0.426
ACTN1	TLN1	9606.ENSP00000377941	9606.ENSP00000316029	0	0	0	0	0.116	0.389	0.900	0.668	0.979
ACTN1	NEXN	9606.ENSP00000377941	9606.ENSP00000333938	0	0	0	0	0.064	0	0	0.402	0.416
ACTN1	COL17A1	9606.ENSP00000377941	9606.ENSP00000340937	0	0	0	0	0.062	0.270	0	0.237	0.432
ACTN1	FERMT2	9606.ENSP00000377941	9606.ENSP00000342858	0	0	0	0	0.085	0.144	0	0.296	0.401
ACTN1	FN1	9606.ENSP00000377941	9606.ENSP00000346839	0	0	0	0	0.117	0	0	0.401	0.448
ACTN1	PDLIM7	9606.ENSP00000377941	9606.ENSP00000348099	0	0	0	0	0.212	0.315	0	0.367	0.629
ACTN1	SVIL	9606.ENSP00000377941	9606.ENSP00000348128	0	0	0	0	0.089	0.270	0	0.415	0.577
ACTN1	AHNAK2	9606.ENSP00000377941	9606.ENSP00000353114	0	0	0	0	0.076	0	0	0.539	0.555
ACTN1	MYLK	9606.ENSP00000377941	9606.ENSP00000353452	0	0	0	0	0.183	0.176	0	0.422	0.577
ACTN1	MYH10	9606.ENSP00000377941	9606.ENSP00000353590	0	0	0	0	0.166	0.143	0	0.457	0.578
ACTN1	CALD1	9606.ENSP00000377941	9606.ENSP00000354826	0	0	0	0	0.097	0.271	0	0.454	0.609
ACTN1	CSRP1	9606.ENSP00000377941	9606.ENSP00000356275	0	0	0	0	0.365	0.355	0	0.361	0.715
ACTN1	FLNA	9606.ENSP00000377941	9606.ENSP00000358866	0	0	0	0.581	0.340	0	0	0.670	0.521
ACTN1	SORBS1	9606.ENSP00000377941	9606.ENSP00000360293	0	0	0	0	0.062	0.075	0	0.372	0.407
ACTN1	TNNC2	9606.ENSP00000377941	9606.ENSP00000361636	0	0	0	0	0.199	0.139	0	0.528	0.646
ACTN1	TPM2	9606.ENSP00000377941	9606.ENSP00000367542	0	0	0	0	0.279	0.431	0	0.552	0.800
ACTN1	FSCN1	9606.ENSP00000377941	9606.ENSP00000371798	0	0	0	0	0.073	0	0	0.409	0.429
ACTN1	ITGB2	9606.ENSP00000377941	9606.ENSP00000380948	0	0	0	0	0.077	0.078	0	0.382	0.429
ACTN1	COLEC12	9606.ENSP00000377941	9606.ENSP00000383115	0	0	0	0	0	0	0	0.468	0.468
ACTN1	TAGLN	9606.ENSP00000377941	9606.ENSP00000432282	0	0	0	0	0.107	0.167	0	0.349	0.474
ACTN1	TGFB1I1	9606.ENSP00000377941	9606.ENSP00000378332	0	0	0	0	0.117	0.180	0	0.398	0.526
ACTN1	MYH11	9606.ENSP00000377941	9606.ENSP00000379616	0	0	0	0	0.166	0.143	0	0.489	0.603
ACTN1	ITGA7	9606.ENSP00000377941	9606.ENSP00000452120	0	0	0	0	0.066	0	0.600	0.286	0.710
ACTN1	PALLD	9606.ENSP00000377941	9606.ENSP00000425556	0	0	0	0	0.106	0.462	0	0.445	0.710
ACTN1	LDB3	9606.ENSP00000377941	9606.ENSP00000401437	0	0	0	0	0.450	0.776	0	0.696	0.959
ADAM33	SCGB2A1	9606.ENSP00000348912	9606.ENSP00000244930	0	0	0	0	0	0	0	0.491	0.491
ADAM33	KCNMB1	9606.ENSP00000348912	9606.ENSP00000274629	0	0	0	0	0.049	0	0	0.431	0.435
ADAM33	FN1	9606.ENSP00000348912	9606.ENSP00000346839	0	0	0	0	0.077	0	0	0.464	0.484
ADAM33	IL33	9606.ENSP00000348912	9606.ENSP00000370842	0	0	0	0	0.076	0	0	0.402	0.424
ADAMTS1	DCN	9606.ENSP00000284984	9606.ENSP00000052754	0	0	0	0	0.130	0.056	0	0.345	0.415
ADAMTS1	MMP2	9606.ENSP00000284984	9606.ENSP00000219070	0	0	0	0	0.158	0.066	0	0.393	0.481
ADAMTS1	COMP	9606.ENSP00000284984	9606.ENSP00000222271	0	0	0	0	0.049	0.074	0	0.476	0.498
ADAMTS1	VGF	9606.ENSP00000284984	9606.ENSP00000249330	0	0	0	0	0	0	0	0.553	0.553
ADAMTS1	ADAMTS2	9606.ENSP00000284984	9606.ENSP00000251582	0	0	0	0.751	0.077	0	0.900	0.603	0.917
ADAMTS1	TIMP2	9606.ENSP00000284984	9606.ENSP00000262768	0	0	0	0	0.089	0	0	0.507	0.532
ADAMTS1	TIMP3	9606.ENSP00000284984	9606.ENSP00000266085	0	0	0	0	0.167	0	0	0.724	0.760
ADAMTS1	SERPING1	9606.ENSP00000284984	9606.ENSP00000278407	0	0	0	0	0.065	0	0	0.404	0.419
ADAMTS1	AREG	9606.ENSP00000284984	9606.ENSP00000379097	0	0	0	0	0	0	0	0.405	0.405
ADAMTS1	SCRG1	9606.ENSP00000284984	9606.ENSP00000296506	0	0	0	0	0	0	0	0.420	0.420
ADAMTS1	COL6A1	9606.ENSP00000284984	9606.ENSP00000355180	0	0	0	0	0.158	0.077	0	0.314	0.421
ADAMTS1	BGN	9606.ENSP00000284984	9606.ENSP00000327336	0	0	0	0	0.157	0.056	0	0.337	0.426
ADAMTS1	CTGF	9606.ENSP00000284984	9606.ENSP00000356954	0	0	0	0	0.179	0	0	0.397	0.484
ADAMTS1	COL14A1	9606.ENSP00000284984	9606.ENSP00000297848	0	0	0	0	0.118	0.077	0	0.427	0.493
ADAMTS1	FBN1	9606.ENSP00000284984	9606.ENSP00000325527	0	0	0	0	0.157	0	0	0.427	0.496
ADAMTS1	FN1	9606.ENSP00000284984	9606.ENSP00000346839	0	0	0	0	0.155	0	0	0.442	0.508
ADAMTS1	COL6A2	9606.ENSP00000284984	9606.ENSP00000300527	0	0	0	0	0.153	0.077	0	0.476	0.555
ADAMTS1	FBLN1	9606.ENSP00000284984	9606.ENSP00000331544	0	0	0	0	0.117	0	0	0.771	0.790
ADAMTS1	SPON1	9606.ENSP00000284984	9606.ENSP00000460236	0	0	0	0	0.087	0	0.900	0.183	0.918
ADAMTS1	THBS2	9606.ENSP00000284984	9606.ENSP00000355751	0	0	0	0.542	0.145	0.074	0.900	0.436	0.930
ADAMTS2	MMP2	9606.ENSP00000251582	9606.ENSP00000219070	0	0	0	0	0.197	0.400	0	0.302	0.634
ADAMTS2	COMP	9606.ENSP00000251582	9606.ENSP00000222271	0	0	0	0	0.097	0.074	0	0.469	0.518
ADAMTS2	PCOLCE	9606.ENSP00000251582	9606.ENSP00000223061	0	0	0	0	0.197	0	0	0.420	0.514
ADAMTS2	COL1A1	9606.ENSP00000251582	9606.ENSP00000225964	0	0	0	0	0.334	0.153	0.900	0.536	0.970
ADAMTS2	VWF	9606.ENSP00000251582	9606.ENSP00000261405	0	0	0	0	0.062	0	0	0.388	0.401
ADAMTS2	COL8A1	9606.ENSP00000251582	9606.ENSP00000261037	0	0	0	0	0.096	0	0	0.375	0.411
ADAMTS2	BGN	9606.ENSP00000251582	9606.ENSP00000327336	0	0	0	0	0.200	0.056	0	0.287	0.414
ADAMTS2	TIMP2	9606.ENSP00000251582	9606.ENSP00000262768	0	0	0	0	0.096	0	0	0.397	0.432
ADAMTS2	SLC13A2	9606.ENSP00000251582	9606.ENSP00000392411	0	0	0	0	0.063	0	0	0.428	0.441
